date,temp_max,temp_min,precipitation,precip_probability,wind_speed,wind_gust,weather_code,city,latitude,longitude,extraction_date,temp_category,precip_category,wind_category,temp_range,year,month,day,day_of_week,season,risk_score
2026-09-19,21.5,20.3,0.0,0.0,30.9,38.5,1,Ad Dakhla,23.7167,-15.95,2026-09-19,Cool / Mild,Dry,Strong,1.1999999999999993,2026,9,19,Saturday,Autumn,23.75
2026-09-20,21.7,19.5,0.0,0.0,27.9,34.9,0,Ad Dakhla,23.7167,-15.95,2026-09-19,Cool / Mild,Dry,Strong,2.1999999999999993,2026,9,20,Sunday,Autumn,23.75
2026-09-21,21.7,20.5,0.0,0.0,28.4,35.3,0,Ad Dakhla,23.7167,-15.95,2026-09-19,Cool / Mild,Dry,Strong,1.1999999999999993,2026,9,21,Monday,Autumn,23.75
2026-09-22,21.9,20.2,0.0,2.0,31.3,39.6,0,Ad Dakhla,23.7167,-15.95,2026-09-19,Cool / Mild,Dry,Strong,1.6999999999999993,2026,9,22,Tuesday,Autumn,23.75
2026-09-23,22.2,20.2,0.0,2.0,30.2,38.2,1,Ad Dakhla,23.7167,-15.95,2026-09-19,Cool / Mild,Dry,Strong,2.0,2026,9,23,Wednesday,Autumn,23.75
2026-09-24,23.1,20.5,0.0,8.0,25.3,33.5,3,Ad Dakhla,23.7167,-15.95,2026-09-19,Cool / Mild,Dry,Strong,2.6000000000000014,2026,9,24,Thursday,Autumn,23.75
2026-09-25,24.4,22.8,0.0,10.0,26.6,41.0,3,Ad Dakhla,23.7167,-15.95,2026-09-19,Cool / Mild,Dry,Strong,1.5999999999999979,2026,9,25,Friday,Autumn,23.75
2026-09-19,30.3,17.9,0.0,0.0,15.7,31.0,45,Ad Darwa,33.4167,-7.5333,2026-09-19,Normal / Pleasant,Dry,Moderate,12.400000000000002,2026,9,19,Saturday,Autumn,36.0
2026-09-20,34.7,19.6,0.0,0.0,16.0,32.0,1,Ad Darwa,33.4167,-7.5333,2026-09-19,Warm,Dry,Moderate,15.100000000000001,2026,9,20,Sunday,Autumn,46.5
2026-09-21,34.3,19.5,0.0,0.0,15.1,30.6,45,Ad Darwa,33.4167,-7.5333,2026-09-19,Warm,Dry,Moderate,14.799999999999997,2026,9,21,Monday,Autumn,46.5
2026-09-22,33.7,19.2,0.0,0.0,16.7,32.4,1,Ad Darwa,33.4167,-7.5333,2026-09-19,Warm,Dry,Moderate,14.500000000000004,2026,9,22,Tuesday,Autumn,46.5
2026-09-23,33.0,17.3,0.0,0.0,14.8,29.5,45,Ad Darwa,33.4167,-7.5333,2026-09-19,Warm,Dry,Calm / Light,15.7,2026,9,23,Wednesday,Autumn,20.25
2026-09-24,34.1,17.6,0.0,0.0,17.3,34.2,45,Ad Darwa,33.4167,-7.5333,2026-09-19,Warm,Dry,Moderate,16.5,2026,9,24,Thursday,Autumn,46.5
2026-09-25,29.2,19.1,0.0,3.0,15.5,32.0,45,Ad Darwa,33.4167,-7.5333,2026-09-19,Normal / Pleasant,Dry,Moderate,10.099999999999998,2026,9,25,Friday,Autumn,36.0
2026-09-19,26.4,21.0,0.0,0.0,13.4,38.5,3,Agadir,30.4214,-9.5831,2026-09-19,Normal / Pleasant,Dry,Calm / Light,5.399999999999999,2026,9,19,Saturday,Autumn,23.75
2026-09-20,27.8,20.3,0.0,0.0,12.2,36.7,45,Agadir,30.4214,-9.5831,2026-09-19,Normal / Pleasant,Dry,Calm / Light,7.5,2026,9,20,Sunday,Autumn,23.75
2026-09-21,34.8,22.3,0.0,0.0,9.5,28.4,3,Agadir,30.4214,-9.5831,2026-09-19,Warm,Dry,Calm / Light,12.499999999999996,2026,9,21,Monday,Autumn,30.75
2026-09-22,33.3,23.2,0.0,0.0,11.9,37.1,2,Agadir,30.4214,-9.5831,2026-09-19,Warm,Dry,Calm / Light,10.099999999999998,2026,9,22,Tuesday,Autumn,46.5
2026-09-23,32.9,22.3,0.0,0.0,10.5,31.7,2,Agadir,30.4214,-9.5831,2026-09-19,Warm,Dry,Calm / Light,10.599999999999998,2026,9,23,Wednesday,Autumn,36.0
2026-09-24,38.9,22.3,0.0,0.0,14.2,30.6,3,Agadir,30.4214,-9.5831,2026-09-19,Very Warm / Heatwave,Dry,Calm / Light,16.599999999999998,2026,9,24,Thursday,Autumn,55.25
2026-09-25,31.0,20.8,0.0,0.0,14.0,28.1,45,Agadir,30.4214,-9.5831,2026-09-19,Normal / Pleasant,Dry,Calm / Light,10.2,2026,9,25,Friday,Autumn,20.25
2026-09-19,31.3,18.2,0.3,8.0,13.0,37.8,3,Aguelmous,33.1324,-5.8366,2026-09-19,Normal / Pleasant,Light,Calm / Light,13.100000000000001,2026,9,19,Saturday,Autumn,42.0
2026-09-20,32.8,19.3,0.0,5.0,21.3,44.6,2,Aguelmous,33.1324,-5.8366,2026-09-19,Warm,Dry,Moderate,13.499999999999996,2026,9,20,Sunday,Autumn,36.0
2026-09-21,32.0,19.7,0.0,0.0,20.9,43.9,2,Aguelmous,33.1324,-5.8366,2026-09-19,Warm,Dry,Moderate,12.3,2026,9,21,Monday,Autumn,36.0
2026-09-22,31.1,18.8,0.0,0.0,16.3,34.6,1,Aguelmous,33.1324,-5.8366,2026-09-19,Normal / Pleasant,Dry,Moderate,12.3,2026,9,22,Tuesday,Autumn,36.0
2026-09-23,31.8,18.1,0.0,0.0,14.9,29.9,1,Aguelmous,33.1324,-5.8366,2026-09-19,Normal / Pleasant,Dry,Calm / Light,13.7,2026,9,23,Wednesday,Autumn,20.25
2026-09-24,31.6,18.0,0.0,0.0,15.3,31.0,0,Aguelmous,33.1324,-5.8366,2026-09-19,Normal / Pleasant,Dry,Moderate,13.600000000000001,2026,9,24,Thursday,Autumn,36.0
2026-09-25,30.4,18.6,0.0,8.0,16.5,36.0,3,Aguelmous,33.1324,-5.8366,2026-09-19,Normal / Pleasant,Dry,Moderate,11.799999999999997,2026,9,25,Friday,Autumn,36.0
2026-09-19,32.3,15.8,0.0,0.0,16.4,32.8,2,Ain El Aouda,33.8111,-6.7922,2026-09-19,Warm,Dry,Moderate,16.499999999999996,2026,9,19,Saturday,Autumn,36.0
2026-09-20,35.0,18.7,0.0,0.0,17.1,34.9,2,Ain El Aouda,33.8111,-6.7922,2026-09-19,Warm,Dry,Moderate,16.3,2026,9,20,Sunday,Autumn,46.5
2026-09-21,34.1,19.6,0.0,0.0,15.9,31.3,1,Ain El Aouda,33.8111,-6.7922,2026-09-19,Warm,Dry,Moderate,14.5,2026,9,21,Monday,Autumn,46.5
2026-09-22,33.4,19.4,0.0,0.0,14.0,28.8,0,Ain El Aouda,33.8111,-6.7922,2026-09-19,Warm,Dry,Calm / Light,14.0,2026,9,22,Tuesday,Autumn,30.75
2026-09-23,33.2,16.3,0.0,0.0,15.6,31.0,0,Ain El Aouda,33.8111,-6.7922,2026-09-19,Warm,Dry,Moderate,16.900000000000002,2026,9,23,Wednesday,Autumn,46.5
2026-09-24,32.5,17.2,0.0,0.0,15.6,30.2,3,Ain El Aouda,33.8111,-6.7922,2026-09-19,Warm,Dry,Moderate,15.3,2026,9,24,Thursday,Autumn,36.0
